ID,ECLO
ACCIDENT_39609,4.0408382
ACCIDENT_39610,3.5411594
ACCIDENT_39611,4.962862
ACCIDENT_39612,4.485795
ACCIDENT_39613,4.4124384
ACCIDENT_39614,3.710518
ACCIDENT_39615,4.2583046
ACCIDENT_39616,3.7113736
ACCIDENT_39617,4.026582
ACCIDENT_39618,4.3251295
ACCIDENT_39619,4.3151937
ACCIDENT_39620,3.315092
ACCIDENT_39621,3.9672673
ACCIDENT_39622,3.2761586
ACCIDENT_39623,3.038114
ACCIDENT_39624,4.196855
ACCIDENT_39625,4.494335
ACCIDENT_39626,4.4463263
ACCIDENT_39627,4.241376
ACCIDENT_39628,4.518888
ACCIDENT_39629,3.5429204
ACCIDENT_39630,3.3065577
ACCIDENT_39631,4.3192143
ACCIDENT_39632,4.2541037
ACCIDENT_39633,4.417222
ACCIDENT_39634,4.344964
ACCIDENT_39635,4.437105
ACCIDENT_39636,4.5420923
ACCIDENT_39637,3.4737232
ACCIDENT_39638,4.308955
ACCIDENT_39639,4.5076404
ACCIDENT_39640,4.169044
ACCIDENT_39641,4.49648
ACCIDENT_39642,3.2991233
ACCIDENT_39643,4.523396
ACCIDENT_39644,3.0030818
ACCIDENT_39645,3.3937674
ACCIDENT_39646,4.6541853
ACCIDENT_39647,4.639488
ACCIDENT_39648,4.8824787
ACCIDENT_39649,3.0206413
ACCIDENT_39650,3.6356947
ACCIDENT_39651,3.6364093
ACCIDENT_39652,4.532378
ACCIDENT_39653,3.6927643
ACCIDENT_39654,3.4106858
ACCIDENT_39655,3.9787712
ACCIDENT_39656,3.6022556
ACCIDENT_39657,4.0971193
ACCIDENT_39658,4.177333
ACCIDENT_39659,3.8331995
ACCIDENT_39660,4.254805
ACCIDENT_39661,3.8860521
ACCIDENT_39662,4.27864
ACCIDENT_39663,4.160298
ACCIDENT_39664,3.711778
ACCIDENT_39665,3.9184635
ACCIDENT_39666,3.2556796
ACCIDENT_39667,4.013978
ACCIDENT_39668,3.45256
ACCIDENT_39669,3.3432934
ACCIDENT_39670,3.9834414
ACCIDENT_39671,4.395896
ACCIDENT_39672,4.067814
ACCIDENT_39673,3.4536076
ACCIDENT_39674,4.271647
ACCIDENT_39675,3.786966
ACCIDENT_39676,4.2522316
ACCIDENT_39677,3.351588
ACCIDENT_39678,3.7129543
ACCIDENT_39679,4.1239347
ACCIDENT_39680,4.168539
ACCIDENT_39681,3.404583
ACCIDENT_39682,4.054764
ACCIDENT_39683,3.7419286
ACCIDENT_39684,3.4121144
ACCIDENT_39685,4.36299
ACCIDENT_39686,4.419484
ACCIDENT_39687,4.2879415
ACCIDENT_39688,3.2884974
ACCIDENT_39689,4.3233733
ACCIDENT_39690,4.1602716
ACCIDENT_39691,4.0947404
ACCIDENT_39692,3.9998388
ACCIDENT_39693,3.5725822
ACCIDENT_39694,4.245123
ACCIDENT_39695,3.964494
ACCIDENT_39696,4.2084613
ACCIDENT_39697,3.9778786
ACCIDENT_39698,4.168359
ACCIDENT_39699,3.7803023
ACCIDENT_39700,4.1063538
ACCIDENT_39701,4.167625
ACCIDENT_39702,4.0926123
ACCIDENT_39703,4.2800436
ACCIDENT_39704,4.1566772
ACCIDENT_39705,3.933336
ACCIDENT_39706,3.3109903
ACCIDENT_39707,4.259963
ACCIDENT_39708,4.213101
ACCIDENT_39709,4.1244574
ACCIDENT_39710,3.5144038
ACCIDENT_39711,3.6587338
ACCIDENT_39712,3.8211985
ACCIDENT_39713,4.113431
ACCIDENT_39714,4.33636
ACCIDENT_39715,4.569345
ACCIDENT_39716,4.275652
ACCIDENT_39717,4.2295313
ACCIDENT_39718,4.1473994
ACCIDENT_39719,4.1089544
ACCIDENT_39720,3.9424276
ACCIDENT_39721,4.2664843
ACCIDENT_39722,4.2228937
ACCIDENT_39723,4.1687317
ACCIDENT_39724,4.1323214
ACCIDENT_39725,4.201963
ACCIDENT_39726,4.165189
ACCIDENT_39727,3.2539482
ACCIDENT_39728,3.9705462
ACCIDENT_39729,4.211372
ACCIDENT_39730,4.199574
ACCIDENT_39731,4.2058973
ACCIDENT_39732,3.7933795
ACCIDENT_39733,4.082688
ACCIDENT_39734,3.3765304
ACCIDENT_39735,4.243249
ACCIDENT_39736,4.5531487
ACCIDENT_39737,3.4599698
ACCIDENT_39738,4.1705637
ACCIDENT_39739,4.175067
ACCIDENT_39740,4.1517835
ACCIDENT_39741,3.5000281
ACCIDENT_39742,4.0559397
ACCIDENT_39743,3.969647
ACCIDENT_39744,4.088189
ACCIDENT_39745,4.227283
ACCIDENT_39746,3.3661995
ACCIDENT_39747,4.0666685
ACCIDENT_39748,4.171786
ACCIDENT_39749,3.1419148
ACCIDENT_39750,4.098605
ACCIDENT_39751,3.5894284
ACCIDENT_39752,4.287296
ACCIDENT_39753,3.9775548
ACCIDENT_39754,4.1195517
ACCIDENT_39755,3.5304554
ACCIDENT_39756,3.9260395
ACCIDENT_39757,4.1968675
ACCIDENT_39758,4.2114816
ACCIDENT_39759,3.317265
ACCIDENT_39760,4.1561685
ACCIDENT_39761,3.9919102
ACCIDENT_39762,4.2106657
ACCIDENT_39763,4.3130093
ACCIDENT_39764,3.677959
ACCIDENT_39765,4.2265706
ACCIDENT_39766,3.662749
ACCIDENT_39767,3.4175217
ACCIDENT_39768,3.540088
ACCIDENT_39769,4.095949
ACCIDENT_39770,3.9968503
ACCIDENT_39771,3.9320233
ACCIDENT_39772,4.1626616
ACCIDENT_39773,4.0630407
ACCIDENT_39774,4.1059985
ACCIDENT_39775,3.263551
ACCIDENT_39776,3.2569432
ACCIDENT_39777,4.1910357
ACCIDENT_39778,3.8821955
ACCIDENT_39779,4.1794233
ACCIDENT_39780,4.0242977
ACCIDENT_39781,3.8790376
ACCIDENT_39782,3.9979002
ACCIDENT_39783,4.2110415
ACCIDENT_39784,5.064106
ACCIDENT_39785,4.1889224
ACCIDENT_39786,3.2806602
ACCIDENT_39787,4.437461
ACCIDENT_39788,3.5981076
ACCIDENT_39789,4.1061463
ACCIDENT_39790,4.1652904
ACCIDENT_39791,3.8143299
ACCIDENT_39792,3.6198392
ACCIDENT_39793,4.390928
ACCIDENT_39794,3.7991977
ACCIDENT_39795,4.5974336
ACCIDENT_39796,3.5874798
ACCIDENT_39797,4.455378
ACCIDENT_39798,4.0902596
ACCIDENT_39799,4.205074
ACCIDENT_39800,4.098785
ACCIDENT_39801,4.043626
ACCIDENT_39802,4.2923346
ACCIDENT_39803,4.31602
ACCIDENT_39804,4.311527
ACCIDENT_39805,3.2576437
ACCIDENT_39806,4.249044
ACCIDENT_39807,4.6468916
ACCIDENT_39808,4.310915
ACCIDENT_39809,4.152891
ACCIDENT_39810,3.3423986
ACCIDENT_39811,3.8272753
ACCIDENT_39812,4.2065516
ACCIDENT_39813,4.068264
ACCIDENT_39814,3.7474
ACCIDENT_39815,4.360984
ACCIDENT_39816,4.5998487
ACCIDENT_39817,4.244437
ACCIDENT_39818,4.6063848
ACCIDENT_39819,4.8500733
ACCIDENT_39820,4.596053
ACCIDENT_39821,4.6938577
ACCIDENT_39822,5.772169
ACCIDENT_39823,4.256876
ACCIDENT_39824,4.6208143
ACCIDENT_39825,4.2170057
ACCIDENT_39826,4.1778393
ACCIDENT_39827,4.4960785
ACCIDENT_39828,4.383117
ACCIDENT_39829,4.5990577
ACCIDENT_39830,4.667858
ACCIDENT_39831,4.6098
ACCIDENT_39832,4.611312
ACCIDENT_39833,4.750762
ACCIDENT_39834,4.652163
ACCIDENT_39835,3.476228
ACCIDENT_39836,4.4326634
ACCIDENT_39837,4.2774644
ACCIDENT_39838,4.457517
ACCIDENT_39839,4.7773023
ACCIDENT_39840,4.5656624
ACCIDENT_39841,4.4595575
ACCIDENT_39842,3.9529877
ACCIDENT_39843,4.258527
ACCIDENT_39844,4.207342
ACCIDENT_39845,4.6234083
ACCIDENT_39846,4.1580453
ACCIDENT_39847,4.1409473
ACCIDENT_39848,4.328883
ACCIDENT_39849,4.0824714
ACCIDENT_39850,3.3914695
ACCIDENT_39851,4.2859354
ACCIDENT_39852,4.007587
ACCIDENT_39853,3.5003338
ACCIDENT_39854,4.149613
ACCIDENT_39855,4.3735666
ACCIDENT_39856,4.003731
ACCIDENT_39857,4.0693855
ACCIDENT_39858,4.297349
ACCIDENT_39859,4.2051044
ACCIDENT_39860,4.235793
ACCIDENT_39861,3.3177311
ACCIDENT_39862,4.220559
ACCIDENT_39863,3.6429777
ACCIDENT_39864,3.2113519
ACCIDENT_39865,3.8514676
ACCIDENT_39866,4.1764874
ACCIDENT_39867,4.224719
ACCIDENT_39868,4.3201647
ACCIDENT_39869,4.318845
ACCIDENT_39870,4.262431
ACCIDENT_39871,4.2573066
ACCIDENT_39872,4.2945943
ACCIDENT_39873,4.039245
ACCIDENT_39874,4.130713
ACCIDENT_39875,4.5268035
ACCIDENT_39876,4.259478
ACCIDENT_39877,3.868328
ACCIDENT_39878,3.9532917
ACCIDENT_39879,4.117099
ACCIDENT_39880,3.0621033
