ID,ECLO
ACCIDENT_39609,15.0
ACCIDENT_39610,5.0
ACCIDENT_39611,18.0
ACCIDENT_39612,12.0
ACCIDENT_39613,3.0
ACCIDENT_39614,6.0
ACCIDENT_39615,1.0
ACCIDENT_39616,3.0
ACCIDENT_39617,6.0
ACCIDENT_39618,11.0
ACCIDENT_39619,3.0
ACCIDENT_39620,5.0
ACCIDENT_39621,3.0
ACCIDENT_39622,8.0
ACCIDENT_39623,3.0
ACCIDENT_39624,5.0
ACCIDENT_39625,6.0
ACCIDENT_39626,6.0
ACCIDENT_39627,1.0
ACCIDENT_39628,6.0
ACCIDENT_39629,1.0
ACCIDENT_39630,1.0
ACCIDENT_39631,5.0
ACCIDENT_39632,3.0
ACCIDENT_39633,5.0
ACCIDENT_39634,9.0
ACCIDENT_39635,3.0
ACCIDENT_39636,18.0
ACCIDENT_39637,5.0
ACCIDENT_39638,8.0
ACCIDENT_39639,17.0
ACCIDENT_39640,10.0
ACCIDENT_39641,6.0
ACCIDENT_39642,3.0
ACCIDENT_39643,8.0
ACCIDENT_39644,5.0
ACCIDENT_39645,3.0
ACCIDENT_39646,6.0
ACCIDENT_39647,8.0
ACCIDENT_39648,8.0
ACCIDENT_39649,3.0
ACCIDENT_39650,3.0
ACCIDENT_39651,1.0
ACCIDENT_39652,12.0
ACCIDENT_39653,5.0
ACCIDENT_39654,5.0
ACCIDENT_39655,3.0
ACCIDENT_39656,1.0
ACCIDENT_39657,3.0
ACCIDENT_39658,3.0
ACCIDENT_39659,3.0
ACCIDENT_39660,3.0
ACCIDENT_39661,3.0
ACCIDENT_39662,3.0
ACCIDENT_39663,3.0
ACCIDENT_39664,3.0
ACCIDENT_39665,3.0
ACCIDENT_39666,3.0
ACCIDENT_39667,3.0
ACCIDENT_39668,5.0
ACCIDENT_39669,5.0
ACCIDENT_39670,1.0
ACCIDENT_39671,3.0
ACCIDENT_39672,3.0
ACCIDENT_39673,5.0
ACCIDENT_39674,6.0
ACCIDENT_39675,5.0
ACCIDENT_39676,3.0
ACCIDENT_39677,3.0
ACCIDENT_39678,5.0
ACCIDENT_39679,4.0
ACCIDENT_39680,15.0
ACCIDENT_39681,6.0
ACCIDENT_39682,3.0
ACCIDENT_39683,5.0
ACCIDENT_39684,1.0
ACCIDENT_39685,3.0
ACCIDENT_39686,5.0
ACCIDENT_39687,8.0
ACCIDENT_39688,1.0
ACCIDENT_39689,5.0
ACCIDENT_39690,3.0
ACCIDENT_39691,3.0
ACCIDENT_39692,8.0
ACCIDENT_39693,3.0
ACCIDENT_39694,3.0
ACCIDENT_39695,3.0
ACCIDENT_39696,3.0
ACCIDENT_39697,3.0
ACCIDENT_39698,3.0
ACCIDENT_39699,1.0
ACCIDENT_39700,3.0
ACCIDENT_39701,8.0
ACCIDENT_39702,3.0
ACCIDENT_39703,8.0
ACCIDENT_39704,3.0
ACCIDENT_39705,3.0
ACCIDENT_39706,3.0
ACCIDENT_39707,5.0
ACCIDENT_39708,3.0
ACCIDENT_39709,8.0
ACCIDENT_39710,6.0
ACCIDENT_39711,3.0
ACCIDENT_39712,5.0
ACCIDENT_39713,3.0
ACCIDENT_39714,5.0
ACCIDENT_39715,10.0
ACCIDENT_39716,9.0
ACCIDENT_39717,3.0
ACCIDENT_39718,9.0
ACCIDENT_39719,3.0
ACCIDENT_39720,18.0
ACCIDENT_39721,9.0
ACCIDENT_39722,3.0
ACCIDENT_39723,3.0
ACCIDENT_39724,5.0
ACCIDENT_39725,15.0
ACCIDENT_39726,4.0
ACCIDENT_39727,3.0
ACCIDENT_39728,3.0
ACCIDENT_39729,3.0
ACCIDENT_39730,3.0
ACCIDENT_39731,6.0
ACCIDENT_39732,3.0
ACCIDENT_39733,4.0
ACCIDENT_39734,6.0
ACCIDENT_39735,12.0
ACCIDENT_39736,17.0
ACCIDENT_39737,3.0
ACCIDENT_39738,3.0
ACCIDENT_39739,9.0
ACCIDENT_39740,5.0
ACCIDENT_39741,3.0
ACCIDENT_39742,5.0
ACCIDENT_39743,5.0
ACCIDENT_39744,3.0
ACCIDENT_39745,5.0
ACCIDENT_39746,3.0
ACCIDENT_39747,3.0
ACCIDENT_39748,5.0
ACCIDENT_39749,3.0
ACCIDENT_39750,3.0
ACCIDENT_39751,5.0
ACCIDENT_39752,6.0
ACCIDENT_39753,6.0
ACCIDENT_39754,3.0
ACCIDENT_39755,10.0
ACCIDENT_39756,6.0
ACCIDENT_39757,7.0
ACCIDENT_39758,3.0
ACCIDENT_39759,1.0
ACCIDENT_39760,3.0
ACCIDENT_39761,4.0
ACCIDENT_39762,1.0
ACCIDENT_39763,1.0
ACCIDENT_39764,3.0
ACCIDENT_39765,6.0
ACCIDENT_39766,3.0
ACCIDENT_39767,5.0
ACCIDENT_39768,1.0
ACCIDENT_39769,3.0
ACCIDENT_39770,1.0
ACCIDENT_39771,3.0
ACCIDENT_39772,8.0
ACCIDENT_39773,3.0
ACCIDENT_39774,5.0
ACCIDENT_39775,3.0
ACCIDENT_39776,3.0
ACCIDENT_39777,8.0
ACCIDENT_39778,3.0
ACCIDENT_39779,5.0
ACCIDENT_39780,5.0
ACCIDENT_39781,3.0
ACCIDENT_39782,10.0
ACCIDENT_39783,8.0
ACCIDENT_39784,5.0
ACCIDENT_39785,3.0
ACCIDENT_39786,5.0
ACCIDENT_39787,3.0
ACCIDENT_39788,3.0
ACCIDENT_39789,10.0
ACCIDENT_39790,3.0
ACCIDENT_39791,3.0
ACCIDENT_39792,3.0
ACCIDENT_39793,6.0
ACCIDENT_39794,3.0
ACCIDENT_39795,1.0
ACCIDENT_39796,5.0
ACCIDENT_39797,5.0
ACCIDENT_39798,3.0
ACCIDENT_39799,3.0
ACCIDENT_39800,3.0
ACCIDENT_39801,6.0
ACCIDENT_39802,3.0
