ID,ECLO
ACCIDENT_39609,4.74
ACCIDENT_39610,3.31
ACCIDENT_39611,4.23
ACCIDENT_39612,6.57
ACCIDENT_39613,4.97
ACCIDENT_39614,4.36
ACCIDENT_39615,5.4025
ACCIDENT_39616,4.47
ACCIDENT_39617,4.89
ACCIDENT_39618,7.21
ACCIDENT_39619,8.062999999999999
ACCIDENT_39620,4.08
ACCIDENT_39621,4.09
ACCIDENT_39622,4.61
ACCIDENT_39623,2.906
ACCIDENT_39624,4.96
ACCIDENT_39625,4.8
ACCIDENT_39626,5.58
ACCIDENT_39627,6.58
ACCIDENT_39628,4.5
ACCIDENT_39629,3.58
ACCIDENT_39630,3.96
ACCIDENT_39631,5.67
ACCIDENT_39632,4.03
ACCIDENT_39633,4.02
ACCIDENT_39634,4.99
ACCIDENT_39635,5.17
ACCIDENT_39636,7.26
ACCIDENT_39637,4.0
ACCIDENT_39638,5.49
ACCIDENT_39639,5.3
ACCIDENT_39640,6.83
ACCIDENT_39641,4.71
ACCIDENT_39642,4.65
ACCIDENT_39643,6.45
ACCIDENT_39644,3.3814285714285712
ACCIDENT_39645,4.77
ACCIDENT_39646,6.19
ACCIDENT_39647,5.39
ACCIDENT_39648,9.28
ACCIDENT_39649,3.317428571428571
ACCIDENT_39650,4.46
ACCIDENT_39651,3.61
ACCIDENT_39652,4.99
ACCIDENT_39653,4.73
ACCIDENT_39654,4.24
ACCIDENT_39655,3.42
ACCIDENT_39656,5.6
ACCIDENT_39657,3.82
ACCIDENT_39658,5.36
ACCIDENT_39659,5.76
ACCIDENT_39660,4.59
ACCIDENT_39661,4.85
ACCIDENT_39662,5.08
ACCIDENT_39663,4.81
ACCIDENT_39664,3.53
ACCIDENT_39665,2.98
ACCIDENT_39666,3.88
ACCIDENT_39667,4.07
ACCIDENT_39668,4.1
ACCIDENT_39669,4.05
ACCIDENT_39670,4.5760000000000005
ACCIDENT_39671,7.09
ACCIDENT_39672,3.3
ACCIDENT_39673,3.9
ACCIDENT_39674,5.59
ACCIDENT_39675,4.99
ACCIDENT_39676,6.81
ACCIDENT_39677,4.26
ACCIDENT_39678,3.83
ACCIDENT_39679,4.8933333333333335
ACCIDENT_39680,4.78
ACCIDENT_39681,4.23
ACCIDENT_39682,5.1
ACCIDENT_39683,4.3
ACCIDENT_39684,4.76
ACCIDENT_39685,5.19
ACCIDENT_39686,5.62
ACCIDENT_39687,6.15
ACCIDENT_39688,3.72
ACCIDENT_39689,8.34
ACCIDENT_39690,4.25
ACCIDENT_39691,3.85
ACCIDENT_39692,4.892499999999999
ACCIDENT_39693,4.42
ACCIDENT_39694,6.39
ACCIDENT_39695,5.7775
ACCIDENT_39696,5.52
ACCIDENT_39697,4.22
ACCIDENT_39698,3.63
ACCIDENT_39699,3.45
ACCIDENT_39700,4.63
ACCIDENT_39701,6.1
ACCIDENT_39702,5.58
ACCIDENT_39703,5.48
ACCIDENT_39704,4.795
ACCIDENT_39705,4.05
ACCIDENT_39706,3.46
ACCIDENT_39707,6.14
ACCIDENT_39708,6.69
ACCIDENT_39709,6.1245
ACCIDENT_39710,4.02
ACCIDENT_39711,3.95
ACCIDENT_39712,4.03
ACCIDENT_39713,4.52
ACCIDENT_39714,4.45
ACCIDENT_39715,6.94
ACCIDENT_39716,5.57
ACCIDENT_39717,4.966666666666666
ACCIDENT_39718,6.0
ACCIDENT_39719,4.894
ACCIDENT_39720,4.253333333333333
ACCIDENT_39721,5.05
